"HC","NOX","SO.","HUMID","class"
21,15,59,59,1
8,10,39,57,1
6,6,33,54,1
18,8,24,56,1
43,38,206,55,1
30,32,72,54,1
21,32,62,56,1
6,4,4,56,1
18,12,37,61,1
12,7,20,59,1
18,8,27,56,1
88,63,278,58,1
26,26,146,57,2
31,21,64,60,2
23,9,15,58,2
1,1,1,54,2
6,4,16,58,2
17,8,28,38,2
52,35,124,59,2
11,4,11,61,2
1,1,1,53,2
5,3,10,61,2
8,3,5,53,2
7,3,10,56,2
6,5,1,59,2
13,7,33,60,2
7,4,4,55,2
11,7,32,54,2
648,319,130,47,2
38,37,193,57,2
15,18,34,59,2
3,1,1,60,2
33,23,125,64,2
20,11,26,58,2
17,14,78,56,2
4,3,8,58,2
20,17,1,62,2
41,26,108,58,2
29,32,161,54,2
45,59,263,56,2
56,21,44,73,2
6,4,18,56,2
11,11,89,54,2
12,9,48,53,2
7,4,18,60,2
31,15,68,57,2
144,66,20,61,2
311,171,86,71,2
105,32,3,71,2
20,7,20,72,2
5,4,20,56,2
8,5,25,61,2
11,7,25,59,2
5,2,11,60,2
65,28,102,52,3
4,2,1,54,3
14,11,42,56,3
7,3,8,56,3
8,8,49,54,3
14,13,39,58,3
