HC,NOX,SO@,HUMID
21,15,59,59
8,10,39,57
6,6,33,54
18,8,24,56
43,38,206,55
30,32,72,54
21,32,62,56
6,4,4,56
18,12,37,61
12,7,20,59
18,8,27,56
88,63,278,58
26,26,146,57
31,21,64,60
23,9,15,58
1,1,1,54
6,4,16,58
17,8,28,38
52,35,124,59
11,4,11,61
1,1,1,53
5,3,10,61
8,3,5,53
7,3,10,56
6,5,1,59
13,7,33,60
7,4,4,55
11,7,32,54
648,319,130,47
38,37,193,57
15,18,34,59
3,1,1,60
33,23,125,64
20,11,26,58
17,14,78,56
4,3,8,58
20,17,1,62
41,26,108,58
29,32,161,54
45,59,263,56
56,21,44,73
6,4,18,56
11,11,89,54
12,9,48,53
7,4,18,60
31,15,68,57
144,66,20,61
311,171,86,71
105,32,3,71
20,7,20,72
5,4,20,56
8,5,25,61
11,7,25,59
5,2,11,60
65,28,102,52
4,2,1,54
14,11,42,56
7,3,8,56
8,8,49,54
14,13,39,58
